date,inpatient_beds_covid
2021-07-30,1106
2021-07-29,1072
2021-07-28,1019
2021-07-27,973
2021-07-26,919
2021-07-25,835
2021-07-24,845
2021-07-23,866
2021-07-22,910
2021-07-21,868
2021-07-20,841
2021-07-19,809
2021-07-18,814
2021-07-17,775
2021-07-16,745
2021-07-15,719
2021-07-14,689
2021-07-13,669
2021-07-12,643
2021-07-11,602
2021-07-10,603
2021-07-09,550
2021-07-08,535
2021-07-07,548
2021-07-06,562
2021-07-05,531
2021-07-04,525
2021-07-03,504
2021-07-02,520
2021-07-01,530
2021-06-30,527
2021-06-29,559
2021-06-28,532
2021-06-27,503
2021-06-26,506
2021-06-25,525
2021-06-24,523
2021-06-23,497
2021-06-22,502
2021-06-21,487
2021-06-20,522
2021-06-19,514
2021-06-18,503
2021-06-17,499
2021-06-16,480
2021-06-15,554
2021-06-14,509
2021-06-13,520
2021-06-12,512
2021-06-11,529
2021-06-10,525
2021-06-09,559
2021-06-08,600
2021-06-07,602
2021-06-06,560
2021-06-05,552
2021-06-04,566
2021-06-03,590
2021-06-02,532
2021-06-01,544
2021-05-31,549
2021-05-30,553
2021-05-29,545
2021-05-28,555
2021-05-27,576
2021-05-26,545
2021-05-25,545
2021-05-24,551
2021-05-23,529
2021-05-22,535
2021-05-21,573
2021-05-20,581
2021-05-19,591
2021-05-18,607
2021-05-17,578
2021-05-16,594
2021-05-15,596
2021-05-14,595
2021-05-13,594
2021-05-12,585
2021-05-11,599
2021-05-10,577
2021-05-09,565
2021-05-08,592
2021-05-07,612
2021-05-06,666
2021-05-05,672
2021-05-04,636
2021-05-03,615
2021-05-02,607
2021-05-01,605
2021-04-30,635
2021-04-29,618
2021-04-28,643
2021-04-27,622
2021-04-26,615
2021-04-25,611
2021-04-24,591
2021-04-23,592
2021-04-22,594
2021-04-21,585
2021-04-20,584
2021-04-19,562
2021-04-18,555
2021-04-17,549
2021-04-16,567
2021-04-15,569
2021-04-14,584
2021-04-13,531
2021-04-12,565
2021-04-11,552
2021-04-10,532
2021-04-09,576
2021-04-08,571
2021-04-07,541
2021-04-06,574
2021-04-05,546
2021-04-04,516
2021-04-03,538
2021-04-02,541
2021-04-01,572
2021-03-31,604
2021-03-30,592
2021-03-28,549
2021-03-27,562
2021-03-26,581
2021-03-25,626
2021-03-24,628
2021-03-23,653
2021-03-22,650
2021-03-21,647
2021-03-20,631
2021-03-19,700
2021-03-18,686
2021-03-17,743
2021-03-16,773
2021-03-15,743
2021-03-14,716
2021-03-13,765
2021-03-12,814
2021-03-11,831
2021-03-10,879
2021-03-09,868
2021-03-08,925
2021-03-07,919
2021-03-06,963
2021-03-05,966
2021-03-04,1043
2021-03-03,1072
2021-03-02,1165
2021-03-01,1202
2021-02-28,1241
2021-02-27,1251
2021-02-26,1317
2021-02-25,1354
2021-02-24,1385
2021-02-23,1449
2021-02-22,1515
2021-02-21,1590
2021-02-20,1598
2021-02-19,1650
2021-02-18,1738
2021-02-17,1823
2021-02-16,1941
2021-02-15,2047
2021-02-14,2119
2021-02-13,2213
2021-02-12,2300
2021-02-11,2396
2021-02-10,2507
2021-02-09,2589
2021-02-08,2744
2021-02-07,2853
2021-02-06,2910
2021-02-05,3060
2021-02-04,3167
2021-02-03,3303
2021-02-02,3456
2021-02-01,3513
2021-01-31,3654
2021-01-30,3664
2021-01-29,3828
2021-01-28,3970
2021-01-27,4087
2021-01-26,4250
2021-01-25,4221
2021-01-24,4229
2021-01-23,4320
2021-01-22,4442
2021-01-21,4495
2021-01-20,4580
2021-01-19,4663
2021-01-18,4780
2021-01-17,4752
2021-01-16,4773
2021-01-15,4849
2021-01-14,4866
2021-01-13,4930
2021-01-12,5055
2021-01-11,5082
2021-01-10,4997
2021-01-09,4988
2021-01-08,4918
2021-01-07,4907
2021-01-06,4920
2021-01-05,4877
2021-01-04,4789
2021-01-03,4647
2021-01-02,4557
2021-01-01,4484
2020-12-31,4501
2020-12-30,4564
2020-12-29,4526
2020-12-28,4475
2020-12-27,4390
2020-12-26,4190
2020-12-25,4165
2020-12-24,4226
2020-12-23,4221
2020-12-22,4163
2020-12-21,4019
2020-12-20,3925
2020-12-19,3899
2020-12-18,4014
2020-12-17,3931
2020-12-16,3884
2020-12-15,3809
2020-12-14,3702
2020-12-13,3677
2020-12-12,3622
2020-12-11,3534
2020-12-10,3482
2020-12-09,3408
2020-12-08,3287
2020-12-07,3157
2020-12-06,3059
2020-12-05,2977
2020-12-04,2931
2020-12-03,2899
2020-12-02,2743
2020-12-01,2699
2020-11-30,2594
2020-11-29,2513
2020-11-28,2458
2020-11-27,2383
2020-11-26,2301
2020-11-25,2289
2020-11-24,2217
2020-11-23,2084
2020-11-22,2008
2020-11-21,1932
2020-11-20,1916
2020-11-19,1835
2020-11-18,1796
2020-11-17,1700
2020-11-16,1624
2020-11-15,1557
2020-11-14,1506
2020-11-13,1470
2020-11-12,1381
2020-11-11,1368
2020-11-10,1360
2020-11-09,1289
2020-11-08,1232
2020-11-07,1185
2020-11-06,1139
2020-11-05,1082
2020-11-04,1100
2020-11-03,1065
2020-11-02,956
2020-11-01,918
2020-10-31,875
2020-10-30,889
2020-10-29,900
2020-10-28,874
2020-10-27,871
2020-10-26,861
2020-10-25,837
2020-10-24,828
2020-10-23,819
2020-10-22,815
2020-10-21,848
2020-10-20,832
2020-10-19,777
2020-10-18,721
2020-10-17,714
2020-10-16,757
2020-10-15,747
2020-10-14,726
2020-10-13,711
2020-10-12,706
2020-10-11,667
2020-10-10,630
2020-10-09,685
2020-10-08,706
2020-10-07,728
2020-10-06,681
2020-10-05,665
2020-10-04,567
2020-10-03,545
2020-10-02,605
2020-10-01,586
2020-09-30,620
2020-09-29,560
2020-09-28,540
2020-09-27,468
2020-09-26,483
2020-09-25,509
2020-09-24,521
2020-09-23,565
2020-09-22,583
2020-09-21,527
2020-09-20,472
2020-09-19,472
2020-09-18,528
2020-09-17,516
2020-09-16,594
2020-09-15,538
2020-09-14,550
2020-09-13,489
2020-09-12,525
2020-09-11,574
2020-09-10,577
2020-09-09,628
2020-09-08,658
2020-09-07,657
2020-09-06,658
2020-09-05,666
2020-09-04,702
2020-09-03,742
2020-09-02,745
2020-09-01,752
2020-08-31,729
2020-08-30,768
2020-08-29,757
2020-08-28,812
2020-08-27,809
2020-08-26,895
2020-08-25,967
2020-08-24,999
2020-08-23,908
2020-08-22,969
2020-08-21,1046
2020-08-20,1068
2020-08-19,1070
2020-08-18,1160
2020-08-17,1167
2020-08-16,1182
2020-08-15,1208
2020-08-14,1282
2020-08-13,1359
2020-08-12,1411
2020-08-11,1469
2020-08-10,1574
2020-08-09,1575
2020-08-08,1626
2020-08-07,1659
2020-08-06,1772
2020-08-05,1879
2020-08-04,1945
2020-08-03,2024
2020-08-02,2017
2020-08-01,2147
2020-07-31,2226
2020-07-30,2302
2020-07-29,2348
2020-07-28,2424
2020-07-27,2564
2020-07-26,2626
2020-07-25,2650
2020-07-24,2758
2020-07-23,2844
2020-07-22,2966
2020-07-21,3094
2020-07-20,3041
2020-07-19,3084
2020-07-18,3136
2020-07-17,3238
2020-07-16,3466
2020-07-15,3454
2020-07-14,3493
2020-07-13,3517
2020-07-12,3373
2020-07-11,3432
2020-07-10,3485
2020-07-09,3432
2020-07-08,3437
2020-07-07,3421
2020-07-06,3356
2020-07-05,3212
2020-07-04,3182
2020-07-03,3113
2020-07-02,3013
2020-07-01,2938
2020-06-30,2876
2020-06-29,2793
2020-06-28,2721
2020-06-27,2691
2020-06-26,2577
2020-06-25,2655
2020-06-24,2453
2020-06-23,2270
2020-06-22,2136
2020-06-21,1992
2020-06-20,1942
2020-06-19,1938
2020-06-18,1832
2020-06-17,1667
2020-06-16,1582
2020-06-15,1506
2020-06-14,1449
2020-06-13,1457
2020-06-12,1412
2020-06-11,1336
2020-06-10,1291
2020-06-09,1274
2020-06-08,1243
2020-06-07,1266
2020-06-06,1252
2020-06-05,1278
2020-06-04,1233
2020-06-03,1079
2020-06-02,1088
2020-06-01,1009
2020-05-31,976
2020-05-30,972
2020-05-29,975
2020-05-28,934
2020-05-27,945
2020-05-26,907
2020-05-25,818
2020-05-24,833
2020-05-23,816
2020-05-22,784
2020-05-21,794
2020-05-20,812
2020-05-19,810
2020-05-18,792
2020-05-17,797
2020-05-16,796
2020-05-15,789
2020-05-14,808
2020-05-13,781
2020-05-12,755
2020-05-11,765
2020-05-10,717
2020-05-09,713
2020-05-08,739
2020-05-07,730
2020-05-06,766
2020-05-05,754
2020-05-04,728
2020-05-03,693
2020-05-02,732
2020-05-01,718
2020-04-30,709
2020-04-29,755
2020-04-28,756
2020-04-27,737
2020-04-26,647
2020-04-25,671
2020-04-24,697
2020-04-23,639
2020-04-22,699
2020-04-21,664
2020-04-20,669
2020-04-19,637
2020-04-18,631
2020-04-17,613
2020-04-16,566
2020-04-15,578
2020-04-14,590
2020-04-13,580
2020-04-12,525
2020-04-11,508
2020-04-10,522
2020-04-09,519
2020-04-08,338
